data,hora,parque,area,nome,tempo_espera
2024-07-25,12:24:20,Disney's Hollywood Studios,Toy Story Land,Toy Story Mania!,60
2024-07-25,12:24:20,Disney's Hollywood Studios,Sunset Boulevard,The Twilight Zone Tower of Terror,110
2024-07-25,12:27:36,Disney's Hollywood Studios,Toy Story Land,Alien Swirling Saucers,25
2024-07-25,12:27:36,Disney's Hollywood Studios,Commissary Lane,Meet Disney Stars at Red Carpet Dreams,35
2024-07-25,12:27:36,Disney's Hollywood Studios,Echo Lake,Meet Olaf at Celebrity Spotlight,25
2024-07-25,12:27:36,Disney's Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,60
2024-07-25,12:27:36,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,80
2024-07-25,12:27:36,Disney's Hollywood Studios,Grand Avenue,Muppet*Vision 3D,10
2024-07-25,12:27:36,Disney's Hollywood Studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith,Atração indisponível agora
2024-07-25,12:27:36,Disney's Hollywood Studios,Toy Story Land,Slinky Dog Dash,75
2024-07-25,12:27:36,Disney's Hollywood Studios,Echo Lake,Star Tours – The Adventures Continue,20
2024-07-25,12:27:36,Disney's Hollywood Studios,Animation Courtyard,Star Wars Launch Bay: Meet Chewbacca,20
2024-07-25,12:27:36,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,Atração indisponível agora
2024-07-25,12:27:36,Disney's Hollywood Studios,Toy Story Land,Toy Story Mania!,60
2024-07-25,12:27:36,Disney's Hollywood Studios,Sunset Boulevard,The Twilight Zone Tower of Terror,110
2024-07-25,12:28:16,Disney's Hollywood Studios,Toy Story Land,Alien Swirling Saucers,25
2024-07-25,12:28:16,Disney's Hollywood Studios,Commissary Lane,Meet Disney Stars at Red Carpet Dreams,35
2024-07-25,12:28:16,Disney's Hollywood Studios,Echo Lake,Meet Olaf at Celebrity Spotlight,25
2024-07-25,12:28:16,Disney's Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,60
2024-07-25,12:28:16,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,80
2024-07-25,12:28:16,Disney's Hollywood Studios,Grand Avenue,Muppet*Vision 3D,10
2024-07-25,12:28:16,Disney's Hollywood Studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith,Atração indisponível agora
2024-07-25,12:28:16,Disney's Hollywood Studios,Toy Story Land,Slinky Dog Dash,75
2024-07-25,12:28:16,Disney's Hollywood Studios,Echo Lake,Star Tours – The Adventures Continue,20
2024-07-25,12:28:16,Disney's Hollywood Studios,Animation Courtyard,Star Wars Launch Bay: Meet Chewbacca,20
2024-07-25,12:28:16,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,Atração indisponível agora
2024-07-25,12:28:16,Disney's Hollywood Studios,Toy Story Land,Toy Story Mania!,60
2024-07-25,12:28:16,Disney's Hollywood Studios,Sunset Boulevard,The Twilight Zone Tower of Terror,110
2024-07-25,12:42:21,Disney's Hollywood Studios,Toy Story Land,Alien Swirling Saucers,45
2024-07-25,12:42:21,Disney's Hollywood Studios,Commissary Lane,Meet Disney Stars at Red Carpet Dreams,35
2024-07-25,12:42:21,Disney's Hollywood Studios,Echo Lake,Meet Olaf at Celebrity Spotlight,10
2024-07-25,12:42:21,Disney's Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,70
2024-07-25,12:42:21,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,80
2024-07-25,12:42:21,Disney's Hollywood Studios,Grand Avenue,Muppet*Vision 3D,10
